CBSA Code,CBSA Title,county_fips,County/County Equivalent,State Name,cbsa_title_clean,cbsa_title,population_2024
38660,"Ponce, PR",72153,Yauco Municipio,Puerto Rico,"Ponce, PR",".Ponce, PR Metro Area",265039.0
38860,"Portland-South Portland, ME",23005,Cumberland County,Maine,"Portland-South Portland, ME",".Portland-South Portland, ME Metro Area",571534.0
38860,"Portland-South Portland, ME",23023,Sagadahoc County,Maine,"Portland-South Portland, ME",".Portland-South Portland, ME Metro Area",571534.0
38860,"Portland-South Portland, ME",23031,York County,Maine,"Portland-South Portland, ME",".Portland-South Portland, ME Metro Area",571534.0
38900,"Portland-Vancouver-Hillsboro, OR-WA",41005,Clackamas County,Oregon,"Portland-Vancouver-Hillsboro, OR-WA",".Portland-Vancouver-Hillsboro, OR-WA Metro Area",2537904.0
38900,"Portland-Vancouver-Hillsboro, OR-WA",41009,Columbia County,Oregon,"Portland-Vancouver-Hillsboro, OR-WA",".Portland-Vancouver-Hillsboro, OR-WA Metro Area",2537904.0
38900,"Portland-Vancouver-Hillsboro, OR-WA",41051,Multnomah County,Oregon,"Portland-Vancouver-Hillsboro, OR-WA",".Portland-Vancouver-Hillsboro, OR-WA Metro Area",2537904.0
38900,"Portland-Vancouver-Hillsboro, OR-WA",41067,Washington County,Oregon,"Portland-Vancouver-Hillsboro, OR-WA",".Portland-Vancouver-Hillsboro, OR-WA Metro Area",2537904.0
38900,"Portland-Vancouver-Hillsboro, OR-WA",41071,Yamhill County,Oregon,"Portland-Vancouver-Hillsboro, OR-WA",".Portland-Vancouver-Hillsboro, OR-WA Metro Area",2537904.0
38900,"Portland-Vancouver-Hillsboro, OR-WA",53011,Clark County,Washington,"Portland-Vancouver-Hillsboro, OR-WA",".Portland-Vancouver-Hillsboro, OR-WA Metro Area",2537904.0
38900,"Portland-Vancouver-Hillsboro, OR-WA",53059,Skamania County,Washington,"Portland-Vancouver-Hillsboro, OR-WA",".Portland-Vancouver-Hillsboro, OR-WA Metro Area",2537904.0
38940,"Port St. Lucie, FL",12085,Martin County,Florida,"Port St. Lucie, FL",".Port St. Lucie, FL Metro Area",556336.0
38940,"Port St. Lucie, FL",12111,St. Lucie County,Florida,"Port St. Lucie, FL",".Port St. Lucie, FL Metro Area",556336.0
39150,"Prescott Valley-Prescott, AZ",04025,Yavapai County,Arizona,"Prescott Valley-Prescott, AZ",".Prescott Valley-Prescott, AZ Metro Area",252013.0
39300,"Providence-Warwick, RI-MA",25005,Bristol County,Massachusetts,"Providence-Warwick, RI-MA",".Providence-Warwick, RI-MA Metro Area",1700901.0
39300,"Providence-Warwick, RI-MA",44001,Bristol County,Rhode Island,"Providence-Warwick, RI-MA",".Providence-Warwick, RI-MA Metro Area",1700901.0
39300,"Providence-Warwick, RI-MA",44003,Kent County,Rhode Island,"Providence-Warwick, RI-MA",".Providence-Warwick, RI-MA Metro Area",1700901.0
39300,"Providence-Warwick, RI-MA",44005,Newport County,Rhode Island,"Providence-Warwick, RI-MA",".Providence-Warwick, RI-MA Metro Area",1700901.0
39300,"Providence-Warwick, RI-MA",44007,Providence County,Rhode Island,"Providence-Warwick, RI-MA",".Providence-Warwick, RI-MA Metro Area",1700901.0
39300,"Providence-Warwick, RI-MA",44009,Washington County,Rhode Island,"Providence-Warwick, RI-MA",".Providence-Warwick, RI-MA Metro Area",1700901.0
39340,"Provo-Orem-Lehi, UT",49023,Juab County,Utah,"Provo-Orem-Lehi, UT",".Provo-Orem-Lehi, UT Metro Area",760531.0
39340,"Provo-Orem-Lehi, UT",49049,Utah County,Utah,"Provo-Orem-Lehi, UT",".Provo-Orem-Lehi, UT Metro Area",760531.0
39380,"Pueblo, CO",08101,Pueblo County,Colorado,"Pueblo, CO",".Pueblo, CO Metro Area",169866.0
