"NPI","Provider Other Organization Name","Provider Other Organization Name Type Code"
"1518609429","Indiana Retina Center","3"
"1659226926","Timber Dental NE Portland","3"
"1699620963","Timber Dental Downtown","3"
"1780457945","Behavioral Pathways","3"
"1891929451","Northern Berkshire Early Intervention","3"
"1902500630","Ozark Nephrology","3"
"1902500630","Ozark Rheumatology","3"
"1912536384","Boiling Springs Dialysis","3"
"1922953298","Timber Dental East Burnside","3"
"1972458248","Timber Dental Bethany","3"
"1063431492","Substance Abuse Services","3"
"1083846091","Lakes Skin Centre","3"
"1104384924","HENDERSON WOMEN'S CARE","3"
"1114995784","West Retail Pharmacy","3"
"1184579369","CLAYTON D WILSON FAMILY Medicine","3"
"1194670372","Unity Eye Centers Bixby","3"
"1225082878","Saint Joseph Medical Group","3"
"1245185420","Foothills Easley Pharmacy","3"
"1306791587","Simmonds, Martin, & Helmbrecht","3"
"1306875950","Dermatology Associates of the Lowcountry","4"
"1326311465","Baptist Heart Specialists","3"
"1336103985","Barlite Dialysis","3"
"1336103985","Southwest San Antonio Dialysis Center","3"
"1346998200","Kids Life Academy","3"
"1427087089","Dermatology Associates of the Lowcountry","4"
"1518074640","Colonial Family Practice","3"
"1619582004","Sterling #4","3"
"1659163400","Baptist Heart Specialists Inc","5"
"1689529869","South Tulsa Surgery Center","3"
"1720933906","Unity Eye Centers Okmulgee","3"
"1730627316","Miracle Ear","3"
"1730950411","Novant Health Southern Surgery Specialists","3"
"1750142121","North Walton Doctors Hospital","3"
"1922464874","GREAT NORTH SURGERY CENTER","3"
"1942155122","Susquehanna OB/GYN and Nurse Midwifery","3"
"1982630125","Dermatology Associates of the Lowcountry","4"
"1013997691","Lynn Community Health Center","4"
"1023777232","Cynergy Physical Therapy Cobble Hill","3"
"1154276368","Luxe Rehab","3"
"1154356244","Fairfax-Falls Church Community Services Board","3"
"1174478374","JHU - 400 BROADWAY - PROVIDER TYPE: 20 - PHYSICIAN","3"
"1194344150","REHAB CAROLINA","3"
"1265263743","Eldon Family Hearing","3"
"1407385388","Kudo Care","3"
"1477032183","Baptist MD Anderson Cancer Physicians","3"
"1508711714","JHU-4924 CAMPBELL BLVD STE 205 -PROVIDER TYPE: 19 - AUDIOLOGIST","3"
"1558840264","Baptist MD Anderson Cancer Physicians","3"
"1629041157","Westlake Eye Surgery Center","3"
"1710905245","AeroCare","3"
"1730034935","Meritus Anesthesia Services","3"
"1730034943","JHU - 45 THOMAS JOHNSON DR STE 109 - PROVIDER TYPE: 20 - PHYSICIAN","3"
"1750236964","Signature Healthcare Pharmacy","3"
"1750249363","Novant Health Heart & Vascular","3"
"1770315418","Novant Health Inpatient Care Specialists","3"
"1770315418","Novant Health Inpatient Care Specialists - Coastal Carolina","3"
"1770438988","CommonSpirit Medical Oncology Fort Morgan","3"
"1770438988","Medical Oncology Fort Morgan","3"
"1821943028","JHU-6565 N CHARLES ST STE 315 - PROVIDER TYPE: 19-AUDIOLOGIST","3"
"1831044049","JHU-5255 LOUGHBORO RD NW - PROVIDER TYPE: 19 - AUDIOLOGIST","3"
"1851264261","Novant Health Gastroenterology","3"
"1861418220","Clearway Pain Solutions","3"
"1861469561","Drs Weber Palmer and Macy Chartered","4"
"1881465557","Novant Health New River Urology","3"
"1912852112","JHU - 1821B PORTAL ST - PROVIDER TYPE: 20 - PHYSICIAN","3"
"1942155148","JHU-1800 ORLEANS ST-PROVIDER TYPE: 14-DENTAL","3"
"1982409959","COLORADO PHYSICIAN PARTNERS","3"
"1003684911","Nushama","3"
"1023141611","CPFS","3"
"1023141611","Center for Psychological & Family Services","5"
"1043463045","Delaware Orthopaedic Specialists","3"
"1053204677","Luminary Hospice","3"
"1063067726","Delaware Orthopaedic Specialists","3"
"1063224467","Mid-MS Medical","3"
"1073069043","Delaware Orthopaedic Specialists","3"
"1073664926","Delaware Orthopaedic Specialists","3"
"1093429821","Maple Ridge Pharmacy","3"
"1093678542","Halifax Drug","3"
"1124633870","Aspirus Clinic - Marshfield","3"
"1134259179","Grossnickle Eye Surgery Center","3"
"1134265440","VILLAGE OF JUNCTION CITY EMS","5"
"1164857892","Sunray Family Counseling","3"
"1174478382","Christian Counseling Associates of Kentucky","3"
"1194735779","Delaware Orthopaedic Specialists","3"
"1225840135","BHPG M 3540 CAR","3"
"1225840135","BHPG M 3540 PCP","3"
"1235084468","BAY PHARMACY","3"
"1235094509","Halifax Drug LTC","3"
"1245450295","Spine Institute of New England","3"
"1245450295","Surgery Center of New England","3"
"1255472841","LYNN EYE SURGERY CENTER","3"
"1285246413","Delaware Orthopaedic Specialists","3"
"1285888602","Aspirus Merrill Clinic","3"
"1285888602","Merrill Clinic","3"
"1295930592","opm","3"
"1346832359","N/A","3"
"1396601696","Hopewell In-Home Senior Care","3"
"1407359060","Shenandoah Health Center","5"
"1407701634","JHU - 1800 ORLEANS ST - PROVIDER TYPE: 27 - MENTAL HEALTH","3"
"1447324306","Hanger Clinic","3"
"1457424491","MC Pharmacy (on Central)","3"
"1457424491","Marshfield Clinic Pharmacy","3"
"1467156695","CARROLLTON CARE PHARMACY","3"
"1467156695","Carenow Pharmacy","3"
"1497148274","Cumberland Memorial Hospital Inc","5"
"1518465533","MISSOURI MED, LLC","3"
"1518750611","Fine Tune Psych","3"
"1568259596","ContinuHome Health Connections","3"
"1568259596","Right At Home Healthcare Services","3"
"1568733053","Galaxy pharmacy","3"
"1588925457","Southwoods Physician Services","3"
"1598610727","Amada Senior Care Cleveland","3"
"1609721828","JHU-11085 LITTLE PATUXENT PKWY STE 210-PROVIDER TYPE: 27 - MENTAL HEALTH","3"
"1619822822","Vista Optical in Select Military Exchanges","3"
"1679837785","Cardiac & Vascular Interventional Group","3"
"1689214249","Hopewell In-Home Senior Care","3"
"1699711556","Eye Surgery Center of Northern California","3"
"1700458874","Delaware Orthopaedic Specialists","3"
"1700731924","JHU - 405 N CAROLINE ST - PROVIDER TYPE: 20-PHYSICIAN","3"
"1700985397","Outpatient Surgery of Del Mar","3"
"1790043099","Turtle Lake Rehab Center","5"
"1801741012","JHU - 4924 CAMPBELL BLVD, STE 210 - PROVIDER TYPE: 19 - AUDIOLOGIST","3"
"1821948357","Delaware Orthopaedic Specialists","3"
"1841145067","JHU-11085 LITTLE PATUXENT PKWY STE 201 - PROVIDER TYPE: 20 - PHYSICIAN","3"
"1861736472","Cumberland Healthcare","3"
"1891678876","Novant Health Orthopedics and Sports Medicine","3"
